序号,起始日期,截止日期,总发行量(亿元),发行只数,总偿还量(亿元),净融资额(亿元),到期偿还量(亿元),到期只数,提前兑付量(亿元),提前兑付只数,回售量(亿元),回售只数,赎回量(亿元),赎回只数,现金要约金额(亿元),现金要约只数
220,2025-01-11,2025-01-11,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
221,2025-01-10,2025-01-10,2542.3,6,2142.6,399.7,2142.6,1,0,0,0,0,0,0,0,0
222,2025-01-09,2025-01-09,550.0,7,0.0,550.0,0.0,0,0,0,0,0,0,0,0,0
223,2025-01-08,2025-01-08,1630.9,6,0.0,1630.9,0.0,0,0,0,0,0,0,0,0,0
224,2025-01-07,2025-01-07,360.0,4,0.0,360.0,0.0,0,0,0,0,0,0,0,0,0
225,2025-01-06,2025-01-06,220.0,3,0.0,220.0,0.0,0,0,0,0,0,0,0,0,0
226,2025-01-05,2025-01-05,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
227,2025-01-04,2025-01-04,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
228,2025-01-03,2025-01-03,520.0,6,0.0,520.0,0.0,0,0,0,0,0,0,0,0,0
229,2025-01-02,2025-01-02,433.1,5,0.0,433.1,0.0,0,0,0,0,0,0,0,0,0
230,2025-01-01,2025-01-01,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
231,2024-12-31,2024-12-31,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
232,2024-12-30,2024-12-30,0.0,0,300.0,-300.0,300.0,1,0,0,0,0,0,0,0,0
233,2024-12-29,2024-12-29,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
234,2024-12-28,2024-12-28,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
235,2024-12-27,2024-12-27,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
236,2024-12-26,2024-12-26,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
237,2024-12-25,2024-12-25,0.0,0,2330.0,-2330.0,2330.0,1,0,0,0,0,0,0,0,0
238,2024-12-24,2024-12-24,1920.1,4,30.0,1890.1,30.0,1,0,0,0,0,0,0,0,0
239,2024-12-23,2024-12-23,0.0,0,400.0,-400.0,400.0,1,0,0,0,0,0,0,0,0
240,2024-12-22,2024-12-22,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
241,2024-12-21,2024-12-21,0.0,0,662.2,-662.2,662.2,1,0,0,0,0,0,0,0,0
242,2024-12-20,2024-12-20,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
243,2024-12-19,2024-12-19,260.0,3,500.7,-240.7,200.7,1,0,0,0,0,300,1,0,0
244,2024-12-18,2024-12-18,1010.7,3,982.4,28.3,982.4,2,0,0,0,0,0,0,0,0
245,2024-12-17,2024-12-17,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
246,2024-12-16,2024-12-16,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
247,2024-12-15,2024-12-15,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
248,2024-12-14,2024-12-14,0.0,0,150.0,-150.0,150.0,1,0,0,0,0,0,0,0,0
249,2024-12-13,2024-12-13,1115.0,3,0.0,1115.0,0.0,0,0,0,0,0,0,0,0,0
250,2024-12-12,2024-12-12,170.0,3,0.0,170.0,0.0,0,0,0,0,0,0,0,0,0
251,2024-12-11,2024-12-11,1884.0,5,550.0,1334.0,550.0,1,0,0,0,0,0,0,0,0
252,2024-12-10,2024-12-10,0.0,0,330.0,-330.0,330.0,2,0,0,0,0,0,0,0,0
