date,yield_10y,stage1_pred__liquidity__dr001__t+20,stage1_pred__liquidity__dr007__t+20,stage1_pred__liquidity__r001__t+20,stage1_pred__liquidity__r007__t+20,stage1_pred__liquidity__fr007__t+20,stage1_pred__liquidity__gc001__t+20,stage1_pred__liquidity__gc007__t+20,stage1_pred__liquidity__spread_r007_dr007__t+20,stage1_pred__liquidity__spread_gc007_r007__t+20,stage1_pred__liquidity__spread_fr007_r007__t+20,stage1_pred__demand__银行__t+20,stage1_pred__demand__基金__t+20,stage1_pred__demand__保险__t+20,stage1_pred__demand__券商__t+20,stage1_pred__demand__理财子__t+20,stage1_pred__demand__其他__t+20,omo_net,omo_inject,omo_withdraw,lpr_1y,lpr_5y,feat__yield_10y__lag1,feat__yield_10y__lag5,label__yield_10y__t+20
2020-10-27,3.1609,1.8002076,2.2737188,1.8628424,2.383035,2.9514818,2.8704581,3.1054163,0.09642751,0.6502132,0.6534834,-0.25145736,0.42103454,0.03701635,0.5626345,0.039254084,0.045840457,900.0,1400.0,500.0,3.85,4.65,3.1934,3.1955,3.29
2020-10-28,3.181,1.5604043,2.3246088,1.6059921,3.0094872,3.2582197,4.1103835,3.3479576,0.68771297,0.35083568,0.24944693,0.42656067,-1.0307211,-0.06853667,1.5743132,0.015196163,-0.13881382,350.0,1050.0,700.0,3.85,4.65,3.1609,3.1855,3.2675
2020-10-29,3.186,1.2821597,2.3409717,1.3307235,3.0139265,2.8562992,3.223418,2.8179991,0.7033926,-0.07763149,-0.18289451,0.5777321,0.43668756,-0.14458537,0.13487925,0.0018905196,-0.09530456,0.0,500.0,500.0,3.85,4.65,3.181,3.1707,3.285
2020-10-30,3.181,0.86397785,2.3512888,0.94698614,2.7257388,2.517236,2.3168266,2.4926736,0.3663058,-0.2081009,-0.21216728,-0.2583987,0.98850006,0.11766617,0.4208596,0.04756818,0.19248554,200.0,1200.0,1000.0,3.85,4.65,3.186,3.1957,3.3
2020-11-02,3.1785,1.1303989,2.2514462,1.2801912,2.543481,2.4310021,1.8685583,2.4080286,0.28015554,-0.10091131,-0.122001566,0.9077774,-0.01021525,0.13913476,0.38101578,0.0661595,0.12512726,0.0,1200.0,1200.0,3.85,4.65,3.181,3.1934,3.25
2020-11-03,3.1762,0.9585237,1.90349,1.0334599,2.4824758,2.141125,1.993943,2.4206226,0.65407294,-0.13152194,-0.38493752,0.17923737,-0.17366834,0.34379724,0.21509236,0.05576109,0.081287116,-1100.0,300.0,1400.0,3.85,4.65,3.1785,3.1609,3.2725
2020-11-04,3.1687,0.7602679,1.8453163,0.85644644,2.1829455,2.1034262,2.157247,2.5007117,0.325322,0.27844846,-0.09090558,0.16105095,-0.36921337,-0.33259964,-0.06708765,-0.18196031,0.28826085,-1000.0,0.0,1000.0,3.85,4.65,3.1762,3.181,3.2925
2020-11-05,3.1912,0.9209458,2.0405295,1.026954,2.1072428,2.1648185,2.3035805,2.6492074,0.0914706,0.53997195,0.05461625,1.2442741,-0.8227847,-0.24609828,-1.0057923,-0.12827589,0.4365297,-500.0,0.0,500.0,3.85,4.65,3.1687,3.186,3.2851
2020-11-06,3.2063,1.2638502,2.0513847,1.3142629,2.2032516,2.1495266,2.450052,2.580812,0.15676089,0.36624256,-0.08467389,-0.23437986,0.55600685,0.046368983,0.44033596,0.037477687,0.18486354,0.0,1200.0,1200.0,3.85,4.65,3.1912,3.181,3.2651
2020-11-09,3.2363,1.405271,2.0801992,1.4533229,2.3668442,2.2567172,2.2920961,2.5294383,0.34310833,0.23852013,-0.13719042,0.9342703,-1.1883548,0.1623182,0.24130304,0.03203613,0.2470665,300.0,1500.0,1200.0,3.85,4.65,3.2063,3.1785,3.2701
2020-11-10,3.2241,1.252296,2.062008,1.3002033,2.3030505,2.196667,2.1011186,2.5108573,0.25385925,0.18820125,-0.11068989,-1.2847888,-0.7366834,-0.0702028,0.44312012,-0.12237106,0.56440204,900.0,1200.0,300.0,3.85,4.65,3.2363,3.1762,3.2551
2020-11-11,3.2391,1.0219624,1.8951999,1.08948,2.285146,2.185413,2.5830388,2.7561436,0.4187866,0.44975883,-0.10190184,1.3391731,-4.164379,0.3302957,-1.3313115,-0.19509642,-0.504056,1600.0,1600.0,0.0,3.85,4.65,3.2241,3.1687,3.2726
2020-11-12,3.2614,1.0586358,1.930162,1.1270362,2.2463846,2.12176,3.0368836,3.1761694,0.32047874,0.8965869,-0.11671366,1.7694163,-1.5156933,0.35233125,0.72169524,-0.09319876,0.6530535,0.0,0.0,0.0,3.85,4.65,3.2391,3.1912,3.2601
2020-11-13,3.2715,1.3679941,2.1014276,1.4428589,2.2346091,2.187382,3.9089293,3.6236365,0.12945329,1.3587626,-0.02056549,-0.03499915,-0.26252177,0.016119074,-0.47333425,0.005347153,0.15035653,-700.0,500.0,1200.0,3.85,4.65,3.2614,3.2063,3.2951
